Processors,Size,Run,Elapsed Time
1,50000,Run 1,0.000381
1,50000,Run 2,0.000410
1,50000,Run 3,0.000410
1,50000,Run 4,0.000409
1,50000,Run 5,0.000382
1,50000,Run 6,0.000381
1,50000,Run 7,0.000381
1,50000,Run 8,0.000395
1,50000,Run 9,0.000411
1,50000,Run 10,0.000445
1,100000,Run 1,0.000907
1,100000,Run 2,0.000827
1,100000,Run 3,0.000532
1,100000,Run 4,0.000889
1,100000,Run 5,0.000910
1,100000,Run 6,0.000841
1,100000,Run 7,0.000805
1,100000,Run 8,0.000444
1,100000,Run 9,0.000888
1,100000,Run 10,0.000774
1,200000,Run 1,0.001203
1,200000,Run 2,0.001761
1,200000,Run 3,0.001618
1,200000,Run 4,0.001780
1,200000,Run 5,0.001564
1,200000,Run 6,0.001782
1,200000,Run 7,0.001676
1,200000,Run 8,0.001752
1,200000,Run 9,0.001801
1,200000,Run 10,0.001659
2,50000,Run 1,0.000380
2,50000,Run 2,0.000240
2,50000,Run 3,0.000086
2,50000,Run 4,0.000325
2,50000,Run 5,0.000152
2,50000,Run 6,0.000292
2,50000,Run 7,0.000097
2,50000,Run 8,0.000296
2,50000,Run 9,0.000288
2,50000,Run 10,0.000225
2,100000,Run 1,0.000461
2,100000,Run 2,0.000463
2,100000,Run 3,0.000441
2,100000,Run 4,0.000530
2,100000,Run 5,0.000462
2,100000,Run 6,0.000500
2,100000,Run 7,0.000476
2,100000,Run 8,0.000287
2,100000,Run 9,0.000523
2,100000,Run 10,0.000474
2,200000,Run 1,0.000320
2,200000,Run 2,0.000396
2,200000,Run 3,0.000908
2,200000,Run 4,0.001018
2,200000,Run 5,0.000829
2,200000,Run 6,0.000949
2,200000,Run 7,0.000411
2,200000,Run 8,0.001285
2,200000,Run 9,0.000900
2,200000,Run 10,0.000902
4,50000,Run 1,0.000203
4,50000,Run 2,0.000652
4,50000,Run 3,0.000380
4,50000,Run 4,0.012441
4,50000,Run 5,0.001011
4,50000,Run 6,0.000386
4,50000,Run 7,0.000126
4,50000,Run 8,0.000381
4,50000,Run 9,0.000591
4,50000,Run 10,0.000218
4,100000,Run 1,0.000347
4,100000,Run 2,0.000268
4,100000,Run 3,0.000655
4,100000,Run 4,0.000400
4,100000,Run 5,0.000102
4,100000,Run 6,0.000718
4,100000,Run 7,0.000567
4,100000,Run 8,0.000709
4,100000,Run 9,0.000352
4,100000,Run 10,0.000215
4,200000,Run 1,0.000304
4,200000,Run 2,0.000509
4,200000,Run 3,0.000774
4,200000,Run 4,0.000653
4,200000,Run 5,0.000177
4,200000,Run 6,0.000722
4,200000,Run 7,0.000605
4,200000,Run 8,0.000623
4,200000,Run 9,0.000906
4,200000,Run 10,0.000486
