cores,n,time
1,20000,0.0402
1,40000,0.0390
1,80000,0.0388
1,160000,0.0394
2,20000,0.0523
2,40000,0.0523
2,80000,0.0527
2,160000,0.0550
4,20000,0.0655
4,40000,0.0653
4,80000,0.0652
4,160000,0.0678
8,20000,0.0882
8,40000,0.0822
8,80000,0.0869
8,160000,0.0862
16,20000,0.1373
16,40000,0.1351
16,80000,0.1305
16,160000,0.1263
32,20000,0.3062
32,40000,0.2960
32,80000,0.2878
32,160000,0.2969
1,200000,0.0462
1,400000,0.0471
1,800000,0.0494
1,1600000,0.0613
2,200000,0.0551
2,400000,0.0558
2,800000,0.0609
2,1600000,0.0664
4,200000,0.0649
4,400000,0.0650
4,800000,0.0697
4,1600000,0.0745
8,200000,0.0860
8,400000,0.0854
8,800000,0.0862
8,1600000,0.0871
16,200000,0.1270
16,400000,0.1299
16,800000,0.1405
16,1600000,0.1396
32,200000,0.2981
32,400000,0.2981
32,800000,0.2981
32,1600000,0.2998
